"server_time  : 2023-12-03 23:13:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:14:02 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 14 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:14:02 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:15:02 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 15 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:15:02 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:16:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 16 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:16:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:17:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 17 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:17:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:18:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 18 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:18:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:19:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 19 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:19:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:20:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 20 01.zip 를 1번 째 백업성공 " 
"server_time  : 2023-12-03 23:20:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202191140, file_dirname : C:\Python312\Lib\site-packages\pkg_park4139 를 파일자동정리완료 " 
"server_time  : 2023-12-03 23:21:01 ,  __file__  : C:\Users\WIN10PROPC3\Desktop\services\helper-from-nothing-to-back-up\helper.py, log id: 20231202151917, file_yyyy_mm_dd_HH_MM_SS_zip : helper - 2023 12 03 23 21 01.zip 를 1번 째 백업성공 " 
